customer_id,customer_name,customer_type,locality,city,state,industry,acquisition_date,preferred_categories,average_order_value,purchase_frequency_per_month,payment_preference,credit_limit,agreed_credit_days,payment_reliability,payer_class,return_probability,discount_sensitivity,churn_probability,is_interstate
CUS000001,Ramesh Kumar,retail,Dombivli,Mumbai,Maharashtra,N/A (individual),2023-02-14,chargers,2012.98,0.233,debit_card,0.0,0,0.6446,normal,0.1636,0.381,0.1393,False
CUS000002,Elite Electronics Corp.,corporate,Santacruz,Mumbai,Maharashtra,Education,2022-11-27,monitors,25000.0,0.05,credit,150000.0,15,0.6099,normal,0.1268,0.613,0.3229,False
CUS000003,Sagar Electronics,small_business,Bandra East,Mumbai,Maharashtra,Retail Trade,2026-04-10,accessories|headphones|monitors|earbuds,10967.7,0.1,bank_transfer,27000.0,15,0.4329,late,0.02,0.39,0.0836,False
CUS000004,Neha Mehta,retail,Bandra West,Mumbai,Maharashtra,N/A (individual),2023-04-28,accessories,1847.41,0.05,UPI,0.0,0,0.5132,normal,0.0973,0.262,0.3192,False
CUS000005,Manoj Kumar,retail,Vashi,Mumbai,Maharashtra,N/A (individual),2024-10-13,cables|ups_devices|printers,1724.71,0.573,UPI,0.0,0,0.0969,late,0.1598,0.349,0.5009,False
CUS000006,Golden Traders,small_business,Ghatkopar,Mumbai,Maharashtra,Education,2024-03-18,power_banks|chargers|webcams|headphones,14767.16,2.153,UPI,28000.0,0,0.7571,normal,0.1249,0.522,0.0536,False
CUS000007,Karan Pandey,retail,Dombivli,Mumbai,Maharashtra,N/A (individual),2026-01-21,headphones|webcams|power_banks|mice,2361.54,0.516,UPI,0.0,0,0.5211,normal,0.2017,0.431,0.199,False
CUS000008,Elite Gadget Hub,small_business,Andheri East,Mumbai,Maharashtra,Media,2025-05-12,keyboards|webcams|speakers|headphones,9462.91,0.287,UPI,50000.0,30,0.2585,normal,0.1027,0.146,0.0971,False
CUS000009,Anil Mishra,retail,Pune,Pune,Maharashtra,N/A (individual),2023-11-16,laptops,3527.82,0.583,UPI,0.0,0,0.5774,normal,0.25,0.286,0.1579,False
CUS000010,Vinod Shah,retail,Bandra East,Mumbai,Maharashtra,N/A (individual),2023-04-07,chargers|smartphones|mice|webcams,949.77,0.622,cash,0.0,0,0.9741,excellent,0.1397,0.403,0.2511,False
CUS000011,Kavya Nair,retail,Nashik,Nashik,Maharashtra,N/A (individual),2026-01-29,chargers|printers|laptops,1747.49,0.472,debit_card,0.0,0,0.0898,late,0.1972,0.067,0.2127,False
CUS000012,Saanvi Reddy,retail,Thane West,Mumbai,Maharashtra,N/A (individual),2026-05-23,earbuds|routers|tablets,2609.38,0.052,UPI,0.0,0,0.9,normal,0.25,0.41,0.258,False
CUS000013,Shree Solutions,small_business,Powai,Mumbai,Maharashtra,Finance,2026-04-08,televisions|feature_phones|headphones,16291.07,0.341,UPI,29000.0,30,0.7333,normal,0.0432,0.128,0.1636,False
CUS000014,Myra Khan,retail,Mulund,Mumbai,Maharashtra,N/A (individual),2024-05-12,headphones,2290.23,0.33,UPI,0.0,0,0.5789,normal,0.25,0.165,0.0924,False
CUS000015,Aditya Fernandes,retail,Goregaon,Mumbai,Maharashtra,N/A (individual),2025-09-26,speakers|monitors,2222.84,0.402,cash,0.0,0,0.5575,normal,0.0904,0.727,0.2012,False
CUS000016,Elite Electronics,small_business,Ahmedabad,Ahmedabad,Gujarat,Media,2025-12-02,storage_devices|smartphones,20018.99,0.268,UPI,25000.0,15,0.4357,normal,0.1065,0.369,0.2125,True
